Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
B8      ;B11;None     ;14.75;9.79E+04;Positive;Unchecked;Unknown         ;-       ;14.75;0;9.79E+04;0.00E+00;               ;SYBR Green I;           ;1.58;5.38;None                ;     ;                 ;20
B9      ;B12;None     ;14.27;1.34E+05;Positive;Unchecked;Unknown         ;-       ;14.27;0;1.34E+05;0.00E+00;               ;SYBR Green I;           ;1.85;5.5;None                ;     ;                 ;21
B10     ;B12;None     ;14.2;1.41E+05;Positive;Unchecked;Unknown         ;-       ;14.2;0;1.41E+05;0.00E+00;               ;SYBR Green I;           ;1.82;5.49;None                ;     ;                 ;22
B11     ;B12;None     ;14.28;1.34E+05;Positive;Unchecked;Unknown         ;-       ;14.28;0;1.34E+05;0.00E+00;               ;SYBR Green I;           ;1.55;5.11;None                ;     ;                 ;23
B12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.06;None                ;     ;                 ;24
C1      ;standard   ;None     ;6.82;1.84E+07;Positive;Unchecked;Standard        ;2.20E+07;6.85;0.04;1.80E+07;5.05E+05;C1             ;SYBR Green I;           ;1.61;5.74;None                ;     ;                 ;25
C2      ;standard   ;None     ;6.88;1.77E+07;Positive;Unchecked;Standard        ;2.20E+07;6.85;0.04;1.80E+07;5.05E+05;C1             ;SYBR Green I;           ;1.64;5.72;None                ;     ;                 ;26
C3      ;C10;None     ;14.31;1.31E+05;Positive;Unchecked;Unknown         ;-       ;14.31;0;1.31E+05;0.00E+00;               ;SYBR Green I;           ;1.74;5.67;None                ;     ;                 ;27
C4      ;C10;None     ;14.3;1.32E+05;Positive;Unchecked;Unknown         ;-       ;14.3;0;1.32E+05;0.00E+00;               ;SYBR Green I;           ;1.88;5.9;None                ;     ;                 ;28
C5      ;C10;None     ;14.47;1.18E+05;Positive;Unchecked;Unknown         ;-       ;14.47;0;1.18E+05;0.00E+00;               ;SYBR Green I;           ;1.54;5.37;None                ;     ;                 ;29
C6      ;C11;None     ;20;3.06E+03;Positive;Unchecked;Unknown         ;-       ;20;0;3.06E+03;0.00E+00;               ;SYBR Green I;           ;0.69;4.26;None                ;     ;                 ;30
C7      ;C11;None     ;19.62;3.93E+03;Positive;Unchecked;Unknown         ;-       ;19.62;0;3.93E+03;0.00E+00;               ;SYBR Green I;           ;0.82;4.64;None                ;     ;                 ;31
C8      ;C11;None     ;19.38;4.60E+03;Positive;Unchecked;Unknown         ;-       ;19.38;0;4.60E+03;0.00E+00;               ;SYBR Green I;           ;0.85;4.67;None                ;     ;                 ;32
C9      ;C12;None     ;19.65;3.85E+03;Positive;Unchecked;Unknown         ;-       ;19.65;0;3.85E+03;0.00E+00;               ;SYBR Green I;           ;0.77;4.43;None                ;     ;                 ;33
C10     ;C12;None     ;19.57;4.06E+03;Positive;Unchecked;Unknown         ;-       ;19.57;0;4.06E+03;0.00E+00;               ;SYBR Green I;           ;0.78;4.43;None                ;     ;                 ;34
